NUM BEN,BENEFICIARIO,RFC,FACT-NUE-FO,CONTRATO,CONCEPTO,TIPO,# OP,FECHA,IMPORTE,SHEET,MES,FACT,NUM OP,FDO-#OP
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,122020-153002-1,NO APLICA,REINTEGRO DE INTERESES DEL MES DE DICIEMBRE FORTAMUN 2020,TR,297000067.0,2021-01-29,18309.0,CONTRATISTA,ENERO,,,
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,DASSPVM/5377/2021-158002-1,NO APLICA,REINTEGRO DE RECURSOS NO COMPROMETIDOS NI DEVENGADOS DEL PROGRAMA FORTASEG 2020 LINEA DE CAPTURA 0021AADO303956228404,TR,303000013.0,2021-01-29,1190.7,CONTRATISTA,ENERO,,,
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,DASSPVM/5378/2021-158002-2,NO APLICA,REINTEGRO DE RENDIMIENTOS FINANCIEROS NO UTILIZADOS GENERADOS EN EL EJERCIO FISCAL FORTASEG 2020 LINEA DE CAPTURA 0021AADN751056072458,TR,303000012.0,2021-01-29,28356.0,CONTRATISTA,ENERO,,,
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,NO COMP-R33-2020-155002-1,NO APLICA,"REINTEGRO DE IMPORTE NO COMPROMETIDO AL 31 DE DICIEMBRE DEL 2020 DEL PROGRAMA RAMO 33-FONDO DE INFRAESTRUCTURA SOCIAL MUNICIPAL, EJERCICIO 2020",TR,298000071.0,2021-01-29,4294281.76,CONTRATISTA,ENERO,,,
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,PROD-FIN-PROAGUA-2020-155002-3,NO APLICA,"REINTEGRO DE PRODUCTOS FINANCIEROS GENERADOS DEL PROGRAMA PROAGUA, EJERCICIO 2020",TR,310000026.0,2021-01-29,59267.0,CONTRATISTA,ENERO,,,
206273,TESORERIA DE LA FEDERACION,SAT970701NN3,PROD-FIN-R33-2020-155002-2,NO APLICA,"REINTEGRO DE PRODUCTOS FINANCIEROS GENERADOS DEL PROGRAMA RAMO 33-FONDO DE INFRAESTRUCTURA SOCIAL MUNICIPAL, EJERCICIO 2020",TR,298000072.0,2021-01-29,733958.0,CONTRATISTA,ENERO,,,
206894,MUNICIPIO DE LA CIUDAD DE MONTERREY,MCM610101PT2,PRE-01-01-153001-1,NO APLICA,PROGRAMA PROREGIO EMPRESARIAL,TR,308000035.0,2021-01-29,4125.0,CONTRATISTA,ENERO,,,
206894,MUNICIPIO DE LA CIUDAD DE MONTERREY,MCM610101PT2,PRE-02-01-153001-2,NO APLICA,PROGRAMA PROREGIO EMPRESARIAL,TR,308000036.0,2021-01-29,4125.0,CONTRATISTA,ENERO,,,
206894,MUNICIPIO DE LA CIUDAD DE MONTERREY,MCM610101PT2,PRE-03-01-153001-8,NO APLICA,PROGRAMA PROREGIO EMPRESARIAL,TR,308000038.0,2021-01-29,2625.0,CONTRATISTA,ENERO,,,
206894,MUNICIPIO DE LA CIUDAD DE MONTERREY,MCM610101PT2,PRE-04-01-153001-10,NO APLICA,PROGRAMA PROREGIO EMPRESARIAL,TR,308000037.0,2021-01-29,1500.0,CONTRATISTA,ENERO,,,
